Ethnicity,Citizen of Latvia,Non-citizen of Latvia,Alternative status of Latvia,Latvian stateless person,Latvian refugee,Temporary protection of Latvia,Other,Together,Year,Total_Population_Year,Percent_of_Year,Cluster_Category
LIBYAN ARAB,0,0,0,0,0,0,2,2,2023,2038755,0.0001,Integrated Minorities
LUXEMBOURGISH,0,0,0,0,0,0,6,6,2023,2038755,0.0003,Integrated Minorities
MACEDONIAN,2,0,0,0,0,0,14,16,2023,2038755,0.0008,Integrated Minorities
MALAYSIAN,1,0,0,0,0,0,11,12,2023,2038755,0.0006,Integrated Minorities
MALTESE,1,0,0,0,0,0,11,12,2023,2038755,0.0006,Integrated Minorities
MARIETIS,66,105,0,0,0,1,46,218,2023,2038755,0.0107,Integrated Minorities
MOROCCAN,0,0,0,0,0,1,30,31,2023,2038755,0.0015,Integrated Minorities
MEXICAN,9,0,0,0,0,0,43,52,2023,2038755,0.0026,Integrated Minorities
MONTENEGRIN,3,1,0,0,0,0,2,6,2023,2038755,0.0003,Integrated Minorities
MOLDAVIA,661,644,0,1,0,16,513,1835,2023,2038755,0.09,Integrated Minorities
MONGOLIAN,2,0,0,0,0,0,11,13,2023,2038755,0.0006,Integrated Minorities
MORTAR SITE,129,179,0,0,0,2,101,411,2023,2038755,0.0202,Integrated Minorities
NAGAIBAK,2,0,0,0,0,0,0,2,2023,2038755,0.0001,Integrated Minorities
UNSELECTED,50790,639,32,6,5,268,729,52469,2023,2038755,2.5736,Integrated Minorities
NEPALIAN,1,0,0,0,0,0,63,64,2023,2038755,0.0031,Integrated Minorities
UNKNOWN,1657,51,17,2,12,3927,6648,12314,2023,2038755,0.604,Integrated Minorities
NIGERIAN,1,0,0,0,0,0,44,45,2023,2038755,0.0022,Integrated Minorities
NOGAAJ,0,3,0,0,0,0,0,3,2023,2038755,0.0001,Integrated Minorities
NORWEGIAN,16,0,0,0,0,0,269,285,2023,2038755,0.014,Integrated Minorities
NETZ,1,0,0,0,0,0,0,1,2023,2038755,0.0,Integrated Minorities
OSETINE,103,98,0,0,2,1,44,248,2023,2038755,0.0122,Integrated Minorities
PALESTINIAN ARAB,0,0,1,0,0,0,0,1,2023,2038755,0.0,Integrated Minorities
PANAMANIAN,0,0,0,0,0,0,3,3,2023,2038755,0.0001,Integrated Minorities
PUNJABI,0,0,0,0,0,1,1,2,2023,2038755,0.0001,Integrated Minorities
PERSIAN,0,0,0,0,0,0,1,1,2023,2038755,0.0,Integrated Minorities
PERUVIAN,0,0,0,0,0,0,24,24,2023,2038755,0.0012,Integrated Minorities
POLIS,31075,6586,0,1,2,12,1775,39451,2023,2038755,1.9351,Integrated Minorities
PORTUGAL,13,0,0,0,0,0,169,182,2023,2038755,0.0089,Integrated Minorities
PUNJAB,0,0,0,0,6,0,2,8,2023,2038755,0.0004,Integrated Minorities
RHETORICAL NOVEL,0,0,0,0,0,0,1,1,2023,2038755,0.0,Integrated Minorities
ROMANIAN,214,209,0,0,0,0,351,774,2023,2038755,0.038,Integrated Minorities
BALL,0,1,0,0,0,0,1,2,2023,2038755,0.0001,Integrated Minorities
SALVADORIANS,0,0,0,0,0,0,3,3,2023,2038755,0.0001,Integrated Minorities
SELKUP,0,1,0,0,0,0,0,1,2023,2038755,0.0,Integrated Minorities
SERBIAN,17,2,0,0,0,0,46,65,2023,2038755,0.0032,Integrated Minorities
SINDS,0,0,0,0,0,0,2,2,2023,2038755,0.0001,Integrated Minorities
SINGULAR,1,0,1,0,1,0,43,46,2023,2038755,0.0023,Integrated Minorities
SYRIAN,6,1,192,0,5,0,42,246,2023,2038755,0.0121,Integrated Minorities
SCOT,11,0,0,0,0,0,26,37,2023,2038755,0.0018,Integrated Minorities
SLOVAK,24,9,0,0,0,0,106,139,2023,2038755,0.0068,Integrated Minorities
SLOVENIAN,2,0,0,0,0,1,26,29,2023,2038755,0.0014,Integrated Minorities
FINN,186,60,0,0,0,0,532,778,2023,2038755,0.0382,Integrated Minorities
SPANIARD,23,5,0,0,0,0,420,448,2023,2038755,0.022,Integrated Minorities
SHORE,1,2,0,0,0,0,1,4,2023,2038755,0.0002,Integrated Minorities
SWISS,13,1,0,0,0,0,92,106,2023,2038755,0.0052,Integrated Minorities
TABASARANS,4,1,0,0,0,0,0,5,2023,2038755,0.0002,Integrated Minorities
TAJIKISTAN,53,25,6,0,39,4,475,602,2023,2038755,0.0295,Integrated Minorities
TALISH,0,0,0,0,1,0,0,1,2023,2038755,0.0,Integrated Minorities
TAMIL,0,0,0,0,0,0,4,4,2023,2038755,0.0002,Integrated Minorities
TATAR,807,812,0,0,1,7,529,2156,2023,2038755,0.1058,Integrated Minorities
TATS,9,4,0,0,0,0,10,23,2023,2038755,0.0011,Integrated Minorities
TELEUT,0,1,0,0,0,0,0,1,2023,2038755,0.0,Integrated Minorities
TUNISIAN,2,0,0,0,0,0,31,33,2023,2038755,0.0016,Integrated Minorities
TURKMONTH,18,10,1,0,0,2,58,89,2023,2038755,0.0044,Integrated Minorities
TURK,49,2,0,0,27,3,643,724,2023,2038755,0.0355,Integrated Minorities
APPROACHING,1,0,0,0,0,0,1,2,2023,2038755,0.0001,Integrated Minorities
UDEHS,0,0,0,0,0,1,0,1,2023,2038755,0.0,Integrated Minorities
UDMURT,44,115,0,1,0,0,34,194,2023,2038755,0.0095,Integrated Minorities
UDS,9,11,0,0,0,0,8,28,2023,2038755,0.0014,Integrated Minorities
UYGHUR,4,2,0,0,5,0,34,45,2023,2038755,0.0022,Integrated Minorities
UKRAINIAN,17763,18325,3,15,0,25785,10180,72071,2023,2038755,3.535,Protected Populations
HUNGARY,133,74,0,0,0,1,109,317,2023,2038755,0.0155,Integrated Minorities
URUGUAYAN,0,0,0,0,0,0,5,5,2023,2038755,0.0002,Integrated Minorities
UZBEK,94,94,8,1,4,11,3242,3454,2023,2038755,0.1694,Integrated Minorities
WALLOON,1,0,0,0,0,0,6,7,2023,2038755,0.0003,Integrated Minorities
GERMAN,2055,560,0,0,1,1,2318,4935,2023,2038755,0.2421,Integrated Minorities
WELSHMAN,1,0,0,0,0,0,6,7,2023,2038755,0.0003,Integrated Minorities
VENEER,5,0,1,0,0,0,18,24,2023,2038755,0.0012,Integrated Minorities
VEPSS,1,2,0,0,0,0,1,4,2023,2038755,0.0002,Integrated Minorities
VIETNAMESE,8,0,0,0,0,0,497,505,2023,2038755,0.0248,Integrated Minorities
SWEDE,39,3,0,0,0,0,603,645,2023,2038755,0.0316,Integrated Minorities
ABAZ,3,3,0,0,0,4,2,12,2024,2021892,0.0006,Integrated Minorities
ABHAHAZ,13,9,0,0,0,0,8,30,2024,2021892,0.0015,Integrated Minorities
ADIGEAN,2,5,0,0,0,0,4,11,2024,2021892,0.0005,Integrated Minorities
AFGHAN,13,0,11,0,122,0,15,161,2024,2021892,0.008,Split Status Groups
AFRIKANDS,3,0,0,0,0,0,2,5,2024,2021892,0.0002,Integrated Minorities
AGULS,9,6,0,0,0,0,13,28,2024,2021892,0.0014,Integrated Minorities
ALBANON,5,0,0,0,0,0,28,33,2024,2021892,0.0016,Integrated Minorities
ALTAIC,0,3,0,0,1,0,0,4,2024,2021892,0.0002,Integrated Minorities
ALGERIAN,5,0,0,0,0,0,38,43,2024,2021892,0.0021,Integrated Minorities
AMERICAN,89,0,0,0,0,2,513,604,2024,2021892,0.0299,Integrated Minorities
ENGLISHMAN,115,1,0,0,0,0,881,997,2024,2021892,0.0493,Integrated Minorities
ARABIC,12,5,18,0,10,0,21,66,2024,2021892,0.0033,Integrated Minorities
ARGENTINE,3,0,0,0,0,0,25,28,2024,2021892,0.0014,Integrated Minorities
ARMENIAN,1234,571,0,4,0,47,677,2533,2024,2021892,0.1253,Integrated Minorities
ASSYRIAN,7,2,0,0,0,1,7,17,2024,2021892,0.0008,Integrated Minorities
AUSTRALIAN,23,0,0,0,0,0,50,73,2024,2021892,0.0036,Integrated Minorities
AUSTRIAN,5,0,0,0,0,0,133,138,2024,2021892,0.0068,Integrated Minorities
CRASH,33,16,0,1,0,0,17,67,2024,2021892,0.0033,Integrated Minorities
AZERBAIJAN,650,533,0,2,6,27,903,2121,2024,2021892,0.1049,Integrated Minorities
BALKAR,0,1,0,0,0,0,9,10,2024,2021892,0.0005,Integrated Minorities
BELARUS,26733,24508,13,7,102,55,6790,58208,2024,2021892,2.8789,Split Status Groups
BASHKIR,69,69,0,0,0,0,58,196,2024,2021892,0.0097,Integrated Minorities
BALOCHISTAN,0,0,0,0,0,0,1,1,2024,2021892,0.0,Integrated Minorities
BENGAL,6,0,2,0,0,0,11,19,2024,2021892,0.0009,Integrated Minorities
BENINIETIS,2,1,0,0,0,0,1,4,2024,2021892,0.0002,Integrated Minorities
BOLIVIAN,0,0,0,0,0,0,1,1,2024,2021892,0.0,Integrated Minorities
BOSNIAN,1,0,0,0,0,0,7,8,2024,2021892,0.0004,Integrated Minorities
BRAZILIAN,7,0,0,0,0,1,100,108,2024,2021892,0.0053,Integrated Minorities
BULGARIAN,171,92,0,0,0,7,526,796,2024,2021892,0.0394,Integrated Minorities
BURYAT,15,11,0,0,0,0,7,33,2024,2021892,0.0016,Integrated Minorities
CAHURS,3,2,0,1,0,0,4,10,2024,2021892,0.0005,Integrated Minorities
CHECHEN,85,27,2,2,2,0,70,188,2024,2021892,0.0093,Integrated Minorities
CZECH REPUBLIC,58,7,0,0,0,0,157,222,2024,2021892,0.011,Integrated Minorities
CHURCHES,7,3,0,0,0,0,5,15,2024,2021892,0.0007,Integrated Minorities
GYPSY,5656,239,0,8,2,0,34,5939,2024,2021892,0.2937,Integrated Minorities
GYPSY (ROM),419,0,0,2,0,19,6,446,2024,2021892,0.0221,Integrated Minorities
CHILEAN,1,0,0,0,0,0,17,18,2024,2021892,0.0009,Integrated Minorities
CHUKCH,0,2,0,0,0,0,0,2,2024,2021892,0.0001,Integrated Minorities
CHUVASH,119,259,0,0,0,0,123,501,2024,2021892,0.0248,Integrated Minorities
DARGINS,14,5,0,0,0,0,1,20,2024,2021892,0.001,Integrated Minorities
DANE,38,0,0,0,0,0,354,392,2024,2021892,0.0194,Integrated Minorities
DUNGANS,0,0,0,0,0,0,3,3,2024,2021892,0.0001,Integrated Minorities
JEW,5352,1128,0,1,4,8,663,7156,2024,2021892,0.3539,Integrated Minorities
ECUADORIAN,0,0,0,0,0,0,10,10,2024,2021892,0.0005,Integrated Minorities
EVENKS,2,1,0,0,0,0,0,3,2024,2021892,0.0001,Integrated Minorities
EVENS,0,0,0,0,0,0,1,1,2024,2021892,0.0,Integrated Minorities
EGYPTIAN,10,0,0,0,5,3,170,188,2024,2021892,0.0093,Integrated Minorities
FARCE,0,0,0,0,0,0,2,2,2024,2021892,0.0001,Integrated Minorities
FLEMISH,2,0,0,0,0,0,15,17,2024,2021892,0.0008,Integrated Minorities
FRENCHMAN,53,0,0,0,0,0,852,905,2024,2021892,0.0448,Integrated Minorities
GAGAUZ,32,31,0,0,0,2,18,83,2024,2021892,0.0041,Integrated Minorities
GREEK,193,53,0,1,0,5,192,444,2024,2021892,0.022,Integrated Minorities
GEORGIA,526,250,0,2,1,17,608,1404,2024,2021892,0.0694,Integrated Minorities
HAKASIAN,1,2,0,0,0,0,3,6,2024,2021892,0.0003,Integrated Minorities
HANTS,0,4,0,0,0,0,0,4,2024,2021892,0.0002,Integrated Minorities
HINDUSTAN,2,0,0,0,0,0,0,2,2024,2021892,0.0001,Integrated Minorities
DUTCHMAN,22,2,0,0,0,0,198,222,2024,2021892,0.011,Integrated Minorities
CROATIA,6,3,0,0,0,0,72,81,2024,2021892,0.004,Integrated Minorities
ESTONIAN,1081,210,0,0,0,1,640,1932,2024,2021892,0.0956,Integrated Minorities
INDIAN,24,0,0,0,0,2,4190,4216,2024,2021892,0.2085,Integrated Minorities
INGUSH,10,8,0,0,0,0,16,34,2024,2021892,0.0017,Integrated Minorities
IRAQI,1,0,4,0,11,0,30,46,2024,2021892,0.0023,Integrated Minorities
IRAN,4,1,4,1,9,0,77,96,2024,2021892,0.0047,Integrated Minorities
ICELANDIC,7,0,0,0,0,0,35,42,2024,2021892,0.0021,Integrated Minorities
ITALIAN,96,1,0,0,0,0,964,1061,2024,2021892,0.0525,Integrated Minorities
IZOR,0,1,0,0,0,0,1,2,2024,2021892,0.0001,Integrated Minorities
IRISH,20,0,0,0,0,0,130,150,2024,2021892,0.0074,Integrated Minorities
YAKUTS,11,6,0,0,0,0,20,37,2024,2021892,0.0018,Integrated Minorities
JAPAN,3,0,0,0,0,0,41,44,2024,2021892,0.0022,Integrated Minorities
NEW ZEALANDER,3,0,0,0,0,0,17,20,2024,2021892,0.001,Integrated Minorities
YEZID,1,0,0,0,0,0,0,1,2024,2021892,0.0,Integrated Minorities
KABARD,8,8,0,0,0,0,3,19,2024,2021892,0.0009,Integrated Minorities
CALMISH,9,6,0,0,0,0,22,37,2024,2021892,0.0018,Integrated Minorities
CANUCK,9,0,0,0,0,0,84,93,2024,2021892,0.0046,Integrated Minorities
KARAČAYAN,4,1,0,0,0,0,2,7,2024,2021892,0.0003,Integrated Minorities
CHARITY,2,1,0,0,0,0,0,3,2024,2021892,0.0001,Integrated Minorities
KARAKALPAKS,0,0,0,0,0,0,7,7,2024,2021892,0.0003,Integrated Minorities
KAREL,62,65,0,0,0,0,23,150,2024,2021892,0.0074,Integrated Minorities
CATALAN,0,0,0,0,0,0,1,1,2024,2021892,0.0,Integrated Minorities
KAZAKHS,91,71,3,0,1,4,444,614,2024,2021892,0.0304,Integrated Minorities
KYRGYZ,9,5,0,1,2,1,192,210,2024,2021892,0.0104,Integrated Minorities
COLOMBIAN,5,0,0,0,0,0,30,35,2024,2021892,0.0017,Integrated Minorities
COMET,62,89,0,0,0,1,35,187,2024,2021892,0.0092,Integrated Minorities
KOMIET PERMIETIS,15,20,0,0,0,0,7,42,2024,2021892,0.0021,Integrated Minorities
KOREAN,81,40,0,0,0,6,144,271,2024,2021892,0.0134,Integrated Minorities
COSTA RICAN,0,0,0,0,0,0,3,3,2024,2021892,0.0001,Integrated Minorities
COSTA RICAN,0,0,0,0,0,0,3,3,2024,2021892,0.0001,Integrated Minorities
COSTA RICAN,1,0,0,0,0,0,0,1,2024,2021892,0.0,Integrated Minorities
COSTA RICAN,1,0,0,0,0,0,0,1,2024,2021892,0.0,Integrated Minorities
RUSSIAN,325133,116344,17,91,82,581,36709,478957,2024,2021892,23.6886,Large Historical Minority
CRIMEAN TATAR,3,0,0,0,0,13,3,19,2024,2021892,0.0009,Integrated Minorities
KRIMCHAK,1,0,0,0,0,0,0,1,2024,2021892,0.0,Integrated Minorities
CUBAN,14,1,0,0,0,1,27,43,2024,2021892,0.0021,Integrated Minorities
COMIC,9,13,0,0,0,0,8,30,2024,2021892,0.0015,Integrated Minorities
KURDISH,3,0,71,0,13,0,8,95,2024,2021892,0.0047,Integrated Minorities
CHINESE,9,2,0,0,0,1,699,711,2024,2021892,0.0352,Integrated Minorities
LAX,20,17,0,0,0,0,5,42,2024,2021892,0.0021,Integrated Minorities
LATVIAN,1221478,395,0,2,0,30,1179,1223084,2024,2021892,60.4921,Latvians
LAZS,3,0,0,0,0,0,0,3,2024,2021892,0.0001,Integrated Minorities
LEZGIN,83,103,0,1,0,0,51,238,2024,2021892,0.0118,Integrated Minorities
LEBANESE,33,4,0,0,5,0,56,98,2024,2021892,0.0048,Integrated Minorities
LITHUANIAN,15438,4131,0,2,0,4,3394,22969,2024,2021892,1.136,Integrated Minorities
LIVONIAN,144,0,0,0,0,0,0,144,2024,2021892,0.0071,Integrated Minorities
LIVONIAN (LIV),27,0,0,0,0,0,1,28,2024,2021892,0.0014,Integrated Minorities
LIBYAN ARAB,0,0,0,0,0,0,4,4,2024,2021892,0.0002,Integrated Minorities
LUXEMBOURGISH,0,0,0,0,0,0,6,6,2024,2021892,0.0003,Integrated Minorities
MACEDONIAN,2,0,0,0,0,0,15,17,2024,2021892,0.0008,Integrated Minorities
MALAYSIAN,1,0,0,0,0,0,10,11,2024,2021892,0.0005,Integrated Minorities
MALTESE,2,0,0,0,0,0,11,13,2024,2021892,0.0006,Integrated Minorities
MARIETIS,66,104,0,0,0,0,40,210,2024,2021892,0.0104,Integrated Minorities
MOROCCAN,0,0,0,0,0,1,35,36,2024,2021892,0.0018,Integrated Minorities
MEXICAN,9,0,0,0,0,0,50,59,2024,2021892,0.0029,Integrated Minorities
MONTENEGRIN,3,1,0,0,0,0,2,6,2024,2021892,0.0003,Integrated Minorities
MOLDAVIA,651,629,0,1,0,24,485,1790,2024,2021892,0.0885,Integrated Minorities
MONGOLIAN,2,0,0,0,0,0,10,12,2024,2021892,0.0006,Integrated Minorities
MORTAR SITE,129,171,0,0,0,2,87,389,2024,2021892,0.0192,Integrated Minorities
NAGAIBAK,2,0,0,0,0,0,0,2,2024,2021892,0.0001,Integrated Minorities
UNSELECTED,51594,604,32,6,4,283,1019,53542,2024,2021892,2.6481,Integrated Minorities
NEPALIAN,1,0,0,0,0,0,64,65,2024,2021892,0.0032,Integrated Minorities
UNKNOWN,1617,47,19,2,12,3641,7108,12446,2024,2021892,0.6156,Integrated Minorities
NIGERIAN,1,0,0,0,0,0,51,52,2024,2021892,0.0026,Integrated Minorities
NOGAAJ,0,3,0,0,0,0,0,3,2024,2021892,0.0001,Integrated Minorities
NORWEGIAN,18,0,0,0,0,0,295,313,2024,2021892,0.0155,Integrated Minorities
NETZ,1,0,0,0,0,0,0,1,2024,2021892,0.0,Integrated Minorities
OSETINE,105,96,0,0,2,1,37,241,2024,2021892,0.0119,Integrated Minorities
PALESTINIAN ARAB,0,0,1,0,0,0,2,3,2024,2021892,0.0001,Integrated Minorities
PANAMANIAN,0,0,0,0,0,0,4,4,2024,2021892,0.0002,Integrated Minorities
PUNJABI,0,0,0,0,0,2,1,3,2024,2021892,0.0001,Integrated Minorities
PERSIAN,0,0,0,0,0,0,1,1,2024,2021892,0.0,Integrated Minorities
PERUVIAN,0,0,0,0,0,0,30,30,2024,2021892,0.0015,Integrated Minorities
POLIS,30517,6357,0,0,2,19,1786,38681,2024,2021892,1.9131,Integrated Minorities
PORTUGAL,12,0,0,0,0,0,189,201,2024,2021892,0.0099,Integrated Minorities
PUNJAB,0,0,0,0,6,0,1,7,2024,2021892,0.0003,Integrated Minorities
RHETORICAL NOVEL,0,0,0,0,0,0,1,1,2024,2021892,0.0,Integrated Minorities
ROMANIAN,214,204,0,0,0,0,374,792,2024,2021892,0.0392,Integrated Minorities
BALL,0,1,0,0,0,0,1,2,2024,2021892,0.0001,Integrated Minorities
SALVADORIANS,0,0,0,0,0,0,2,2,2024,2021892,0.0001,Integrated Minorities
SELKUP,0,1,0,0,0,0,0,1,2024,2021892,0.0,Integrated Minorities
SERBIAN,16,2,0,0,0,0,44,62,2024,2021892,0.0031,Integrated Minorities
SINDS,0,0,0,0,0,0,3,3,2024,2021892,0.0001,Integrated Minorities
SINGULAR,1,0,1,0,1,0,67,70,2024,2021892,0.0035,Integrated Minorities
SYRIAN,6,1,185,0,5,0,43,240,2024,2021892,0.0119,Integrated Minorities
SCOT,11,0,0,0,0,0,26,37,2024,2021892,0.0018,Integrated Minorities
SLOVAK,24,9,0,0,0,0,109,142,2024,2021892,0.007,Integrated Minorities
SLOVENIAN,2,0,0,0,0,1,29,32,2024,2021892,0.0016,Integrated Minorities
FINN,183,56,0,0,0,0,560,799,2024,2021892,0.0395,Integrated Minorities
SPANIARD,26,5,0,0,0,0,440,471,2024,2021892,0.0233,Integrated Minorities
SHORE,0,2,0,0,0,0,1,3,2024,2021892,0.0001,Integrated Minorities
SWISS,13,1,0,0,0,0,94,108,2024,2021892,0.0053,Integrated Minorities
TABASARANS,4,1,0,0,0,0,0,5,2024,2021892,0.0002,Integrated Minorities
TAJIKISTAN,52,24,5,0,39,5,582,707,2024,2021892,0.035,Integrated Minorities
TALISH,0,0,0,0,1,0,0,1,2024,2021892,0.0,Integrated Minorities
TAMIL,0,0,0,0,0,0,6,6,2024,2021892,0.0003,Integrated Minorities
TATAR,803,786,0,0,1,10,495,2095,2024,2021892,0.1036,Integrated Minorities
TATS,9,3,0,0,0,0,6,18,2024,2021892,0.0009,Integrated Minorities
TELEUT,0,1,0,0,0,0,0,1,2024,2021892,0.0,Integrated Minorities
TUNISIAN,2,0,0,0,0,0,49,51,2024,2021892,0.0025,Integrated Minorities
TURKMONTH,17,9,1,0,0,2,59,88,2024,2021892,0.0044,Integrated Minorities
TURK,55,2,0,0,26,4,758,845,2024,2021892,0.0418,Integrated Minorities
APPROACHING,1,0,0,0,0,0,1,2,2024,2021892,0.0001,Integrated Minorities
UDEHS,0,0,0,0,0,1,0,1,2024,2021892,0.0,Integrated Minorities
UDMURT,45,111,0,1,0,0,29,186,2024,2021892,0.0092,Integrated Minorities
UDS,9,11,0,0,0,0,7,27,2024,2021892,0.0013,Integrated Minorities
UYGHUR,5,2,0,0,5,1,32,45,2024,2021892,0.0022,Integrated Minorities
UKRAINIAN,17645,17663,5,15,0,31032,9436,75796,2024,2021892,3.7488,Protected Populations
HUNGARY,133,68,0,0,0,1,118,320,2024,2021892,0.0158,Integrated Minorities
URUGUAYAN,0,0,0,0,0,0,4,4,2024,2021892,0.0002,Integrated Minorities
UZBEK,100,92,6,1,4,10,3741,3954,2024,2021892,0.1956,Integrated Minorities
WALLOON,1,0,0,0,0,0,7,8,2024,2021892,0.0004,Integrated Minorities
GERMAN,2061,543,0,0,1,2,2420,5027,2024,2021892,0.2486,Integrated Minorities
WELSHMAN,1,0,0,0,0,0,6,7,2024,2021892,0.0003,Integrated Minorities
VENEER,5,0,1,0,0,0,21,27,2024,2021892,0.0013,Integrated Minorities
VEPSS,1,2,0,0,0,0,1,4,2024,2021892,0.0002,Integrated Minorities
VIETNAMESE,8,0,0,0,0,0,563,571,2024,2021892,0.0282,Integrated Minorities
SWEDE,41,3,0,0,0,0,677,721,2024,2021892,0.0357,Integrated Minorities
ABAZ,4,3,0,0,0,2,3,12,2025,1993984,0.0006,Integrated Minorities
ABHAHAZ,13,9,0,0,0,0,7,29,2025,1993984,0.0015,Integrated Minorities
ADIGEAN,2,5,0,0,0,0,3,10,2025,1993984,0.0005,Integrated Minorities
AFGHAN,15,0,9,0,120,0,15,159,2025,1993984,0.008,Split Status Groups
AFRIKANDS,3,0,0,0,0,0,2,5,2025,1993984,0.0003,Integrated Minorities
AGULS,9,6,0,0,0,0,17,32,2025,1993984,0.0016,Integrated Minorities
ALBANON,5,0,0,0,0,0,36,41,2025,1993984,0.0021,Integrated Minorities
ALTAIC,0,3,0,0,1,0,0,4,2025,1993984,0.0002,Integrated Minorities
ALGERIAN,4,0,0,0,0,0,38,42,2025,1993984,0.0021,Integrated Minorities
AMERICAN,85,0,0,0,0,3,518,606,2025,1993984,0.0304,Integrated Minorities
ENGLISHMAN,123,1,0,0,0,0,882,1006,2025,1993984,0.0505,Integrated Minorities
ARABIC,15,5,17,0,10,0,20,67,2025,1993984,0.0034,Integrated Minorities
ARGENTINE,4,0,0,0,0,0,28,32,2025,1993984,0.0016,Integrated Minorities
ARMENIAN,1240,549,0,3,0,42,650,2484,2025,1993984,0.1246,Integrated Minorities
ASSYRIAN,7,2,0,0,0,1,6,16,2025,1993984,0.0008,Integrated Minorities
AUSTRALIAN,28,0,0,0,0,0,51,79,2025,1993984,0.004,Integrated Minorities
AUSTRIAN,5,0,0,0,0,0,123,128,2025,1993984,0.0064,Integrated Minorities
CRASH,33,16,0,1,0,0,17,67,2025,1993984,0.0034,Integrated Minorities
AZERBAIJAN,663,509,0,2,6,25,960,2165,2025,1993984,0.1086,Integrated Minorities
BALKAR,0,1,0,0,0,0,8,9,2025,1993984,0.0005,Integrated Minorities
BELARUS,26432,23552,11,11,110,52,6555,56723,2025,1993984,2.8447,Split Status Groups
BASHKIR,69,68,0,0,0,0,55,192,2025,1993984,0.0096,Integrated Minorities
BALOCHISTAN,0,0,0,0,0,0,1,1,2025,1993984,0.0001,Integrated Minorities
BENGAL,6,0,2,0,0,0,12,20,2025,1993984,0.001,Integrated Minorities
BENINIETIS,2,1,0,0,0,0,0,3,2025,1993984,0.0002,Integrated Minorities
BOLIVIAN,0,0,0,0,0,0,1,1,2025,1993984,0.0001,Integrated Minorities
BOSNIAN,1,0,0,0,0,0,7,8,2025,1993984,0.0004,Integrated Minorities
BRAZILIAN,8,0,0,0,0,1,126,135,2025,1993984,0.0068,Integrated Minorities
BULGARIAN,177,87,0,0,0,11,455,730,2025,1993984,0.0366,Integrated Minorities
BURYAT,14,11,0,0,0,0,7,32,2025,1993984,0.0016,Integrated Minorities
CAHURS,4,2,0,1,0,0,3,10,2025,1993984,0.0005,Integrated Minorities
CHECHEN,90,25,2,2,1,0,64,184,2025,1993984,0.0092,Integrated Minorities
CZECH REPUBLIC,59,7,0,0,0,0,144,210,2025,1993984,0.0105,Integrated Minorities
CHURCHES,7,3,0,0,0,0,4,14,2025,1993984,0.0007,Integrated Minorities
GYPSY,5514,227,0,8,2,0,35,5786,2025,1993984,0.2902,Integrated Minorities
GYPSY (ROM),458,0,0,2,0,113,7,580,2025,1993984,0.0291,Integrated Minorities
CHILEAN,2,0,0,0,0,0,14,16,2025,1993984,0.0008,Integrated Minorities
CHUKCH,0,2,0,0,0,0,0,2,2025,1993984,0.0001,Integrated Minorities
CHUVASH,115,251,0,0,0,0,122,488,2025,1993984,0.0245,Integrated Minorities
DARGINS,15,3,0,0,0,0,1,19,2025,1993984,0.001,Integrated Minorities
DANE,39,0,0,0,0,0,325,364,2025,1993984,0.0183,Integrated Minorities
DUNGANS,0,0,0,0,0,0,3,3,2025,1993984,0.0002,Integrated Minorities
JEW,5181,1076,0,1,3,7,648,6916,2025,1993984,0.3468,Integrated Minorities
ECUADORIAN,0,0,0,0,0,0,8,8,2025,1993984,0.0004,Integrated Minorities
EVENKS,2,1,0,0,0,0,0,3,2025,1993984,0.0002,Integrated Minorities
EVENS,0,0,0,0,0,0,1,1,2025,1993984,0.0001,Integrated Minorities
EGYPTIAN,12,0,0,0,5,1,174,192,2025,1993984,0.0096,Integrated Minorities
FARCE,0,0,0,0,0,0,2,2,2025,1993984,0.0001,Integrated Minorities
FLEMISH,2,0,0,0,0,0,15,17,2025,1993984,0.0009,Integrated Minorities
FRENCHMAN,60,0,0,0,0,0,865,925,2025,1993984,0.0464,Integrated Minorities
GAGAUZ,30,31,0,0,0,3,14,78,2025,1993984,0.0039,Integrated Minorities
GREEK,192,52,0,1,0,2,199,446,2025,1993984,0.0224,Integrated Minorities
GEORGIA,525,243,0,2,1,17,543,1331,2025,1993984,0.0668,Integrated Minorities
HAKASIAN,1,2,0,0,0,0,3,6,2025,1993984,0.0003,Integrated Minorities
HANTS,0,4,0,0,0,0,0,4,2025,1993984,0.0002,Integrated Minorities
HINDUSTAN,2,0,0,0,0,0,0,2,2025,1993984,0.0001,Integrated Minorities
DUTCHMAN,26,2,0,0,0,0,187,215,2025,1993984,0.0108,Integrated Minorities
CROATIA,6,3,0,0,0,0,73,82,2025,1993984,0.0041,Integrated Minorities
ESTONIAN,1061,200,0,0,0,1,615,1877,2025,1993984,0.0941,Integrated Minorities
INDIAN,24,0,0,0,0,4,5200,5228,2025,1993984,0.2622,Integrated Minorities
INGUSH,10,8,1,0,0,0,16,35,2025,1993984,0.0018,Integrated Minorities
IRAQI,1,0,4,0,11,0,22,38,2025,1993984,0.0019,Integrated Minorities
IRAN,4,1,4,1,9,0,77,96,2025,1993984,0.0048,Integrated Minorities
ICELANDIC,7,0,0,0,0,0,29,36,2025,1993984,0.0018,Integrated Minorities
ITALIAN,92,1,0,0,0,0,969,1062,2025,1993984,0.0533,Integrated Minorities
IZOR,0,1,0,0,0,0,1,2,2025,1993984,0.0001,Integrated Minorities
